task_id	name	status	exit	realtime	peak_vmem	peak_rss
490	perform_pairwise_association_test (336)	COMPLETED	0	9m 3s	3 GB	2.5 GB
558	perform_pairwise_association_test (404)	COMPLETED	0	9m 21s	3 GB	2.5 GB
470	perform_pairwise_association_test (316)	COMPLETED	0	9m 8s	3.2 GB	2.7 GB
866	perform_pairwise_association_test (712)	COMPLETED	0	10m 29s	3 GB	2.5 GB
472	perform_pairwise_association_test (318)	COMPLETED	0	10m 7s	3 GB	2.5 GB
869	perform_pairwise_association_test (715)	COMPLETED	0	9m 36s	3 GB	2.5 GB
870	perform_pairwise_association_test (716)	COMPLETED	0	9m 52s	3 GB	2.5 GB
871	perform_pairwise_association_test (717)	COMPLETED	0	9m 34s	3 GB	2.5 GB
597	perform_pairwise_association_test (443)	COMPLETED	0	9m 17s	3 GB	2.5 GB
868	perform_pairwise_association_test (714)	COMPLETED	0	9m 56s	3 GB	2.5 GB
598	perform_pairwise_association_test (444)	COMPLETED	0	9m 35s	3 GB	2.5 GB
599	perform_pairwise_association_test (445)	COMPLETED	0	9m 26s	3 GB	2.5 GB
648	perform_pairwise_association_test (494)	COMPLETED	0	9m 40s	3 GB	2.5 GB
649	perform_pairwise_association_test (495)	COMPLETED	0	9m 36s	3 GB	2.5 GB
650	perform_pairwise_association_test (496)	COMPLETED	0	9m 17s	3 GB	2.6 GB
651	perform_pairwise_association_test (497)	COMPLETED	0	9m 39s	3 GB	2.5 GB
883	perform_pairwise_association_test (729)	COMPLETED	0	9m 20s	3 GB	2.5 GB
652	perform_pairwise_association_test (498)	COMPLETED	0	9m 53s	3 GB	2.5 GB
881	perform_pairwise_association_test (727)	COMPLETED	0	9m 33s	3 GB	2.6 GB
882	perform_pairwise_association_test (728)	COMPLETED	0	9m 41s	3 GB	2.6 GB
888	perform_pairwise_association_test (734)	COMPLETED	0	9m 21s	3 GB	2.5 GB
889	perform_pairwise_association_test (735)	COMPLETED	0	9m 11s	3 GB	2.5 GB
890	perform_pairwise_association_test (736)	COMPLETED	0	9m 22s	3 GB	2.5 GB
891	perform_pairwise_association_test (737)	COMPLETED	0	9m 25s	3 GB	2.5 GB
1035	perform_pairwise_association_test (881)	COMPLETED	0	8m 58s	3 GB	2.6 GB
