"","replicate_id","undershoot_ratio","subsample","replicate_id.1","undershoot_ratio.1","subsample.1","replicate_id.2","undershoot_ratio.2","subsample.2","replicate_id.3","undershoot_ratio.3","subsample.3","replicate_id.4","undershoot_ratio.4","subsample.4","replicate_id.5","undershoot_ratio.5","subsample.5","replicate_id.6","undershoot_ratio.6","subsample.6","replicate_id.7","undershoot_ratio.7","subsample.7","replicate_id.8","undershoot_ratio.8","subsample.8","replicate_id.9","undershoot_ratio.9","subsample.9"
"41",41,0.917911488010294,1000,41,0.723313565861922,1000,41,0.946215154398049,1000,41,1.39361747939362,1000,41,1.06776582323787,1000,41,0.75425942158621,1000,41,4.00281186148149,1000,41,3.86295575299602,1000,41,2.06961763709167,1000,41,3.73443867114449,1000
"42",42,0.874852655269516,1000,42,1.1436282942648,1000,42,1.29137892450058,1000,42,1.20812905068127,1000,42,1.04949449646698,1000,42,0.824663607135801,1000,42,1.14244388300123,1000,42,0.86471993991306,1000,42,3.89442365950233,1000,42,8.73914220077144,1000
"43",43,0.929887548424246,1000,43,0.897015650340589,1000,43,6.84973728886714,1000,43,0.813248538189584,1000,43,0.907705392360208,1000,43,0.911964468428754,1000,43,1.90749441092922,1000,43,0.857132905941266,1000,43,0.968417059047422,1000,43,9.66422700395036,1000
"44",44,4.41595565328962,1000,44,1.62672106094791,1000,44,5.82250775552213,1000,44,0.907685920869908,1000,44,0.936865443590724,1000,44,0.889422146481379,1000,44,0.88925455479455,1000,44,1.61090351194248,1000,44,2.20987465691962,1000,44,3.81494429050633,1000
"45",45,1.25425624293777,1000,45,1.75039213846307,1000,45,1.0161030866526,1000,45,1.03857626378476,1000,45,1.16772188773839,1000,45,0.936873656756702,1000,45,1.34343934665108,1000,45,1.21317973462594,1000,45,1.00531946038816,1000,45,2.92824744419642,1000
"46",46,0.970083564594809,1000,46,0.797052951468856,1000,46,1.44911273273913,1000,46,0.858618063138234,1000,46,0.957480662919548,1000,46,0.930712181021436,1000,46,4.78712726406882,1000,46,0.863325326888481,1000,46,1.91948448550188,1000,46,3.47153375426032,1000
"47",47,0.937087737919702,1000,47,1.35866205038174,1000,47,0.992652598159235,1000,47,1.33812742435984,1000,47,4.28918841022102,1000,47,0.886019597296736,1000,47,0.868799066708081,1000,47,2.29048163307139,1000,47,2.47525878327322,1000,47,1.95068271126369,1000
"48",48,1.45021638505751,1000,48,3.9864071669497,1000,48,3.41152216429389,1000,48,1.08477854155984,1000,48,1.17725446173132,1000,48,0.954631697928691,1000,48,1.27551830430138,1000,48,1.21484605961921,1000,48,1.25959592248627,1000,48,4.72857584368284,1000
"49",49,0.887222415047984,1000,49,0.888542977665505,1000,49,1.90704443012408,1000,49,5.36022027998366,1000,49,1.18305514875437,1000,49,1.5405980714397,1000,49,0.96847721503454,1000,49,1.58886231948169,1000,49,3.99251944952855,1000,49,2.8918525134635,1000
"50",50,2.34656089582312,1000,50,3.09841347641417,1000,50,1.06600380656338,1000,50,1.1542468066994,1000,50,1.01232164999406,1000,50,0.9544284534024,1000,50,0.961693842398134,1000,50,1.95099768426695,1000,50,0.990295100015577,1000,50,5.65892326002836,1000
"51",51,0.854855219950222,1000,51,0.945815514651477,1000,51,1.00948058216581,1000,51,0.88490806924709,1000,51,0.923345525628264,1000,51,0.929953910677033,1000,51,2.84104688558462,1000,51,1.58023670614011,1000,51,1.63135093902624,1000,51,3.45866589246871,1000
"52",52,1.10556201936356,1000,52,1.67429978651352,1000,52,0.928995168217283,1000,52,0.905307937503883,1000,52,2.99212295701947,1000,52,0.938364532540665,1000,52,2.02028706138342,1000,52,2.18609306002408,1000,52,0.928077054217995,1000,52,2.58433397321518,1000
"53",53,1.48575749400723,1000,53,0.820607786618858,1000,53,3.88722651200048,1000,53,0.970166659381636,1000,53,0.878185737271716,1000,53,0.969916743288533,1000,53,1.01294692650643,1000,53,1.45353964682928,1000,53,1.28804128318706,1000,53,1.48668234038408,1000
"54",54,0.936613568780997,1000,54,1.13388189603361,1000,54,0.939397531712434,1000,54,1.59861943223071,1000,54,3.22821029257288,1000,54,2.20562458036676,1000,54,0.846893901602262,1000,54,2.03522705320206,1000,54,4.37742733058291,1000,54,2.11993950386489,1000
"55",55,0.933176207872683,1000,55,1.26942812984768,1000,55,0.980917379406318,1000,55,2.11633167264492,1000,55,1.14773437995967,1000,55,0.983183245907167,1000,55,2.90146921710505,1000,55,1.82453012603184,1000,55,2.75917540749722,1000,55,2.73591674895674,1000
