"","replicate_id","overshoot_ratio","subsample","replicate_id.1","overshoot_ratio.1","subsample.1","replicate_id.2","overshoot_ratio.2","subsample.2","replicate_id.3","overshoot_ratio.3","subsample.3","replicate_id.4","overshoot_ratio.4","subsample.4","replicate_id.5","overshoot_ratio.5","subsample.5","replicate_id.6","overshoot_ratio.6","subsample.6","replicate_id.7","overshoot_ratio.7","subsample.7","replicate_id.8","overshoot_ratio.8","subsample.8","replicate_id.9","overshoot_ratio.9","subsample.9","replicate_id.10","overshoot_ratio.10","subsample.10","replicate_id.11","overshoot_ratio.11","subsample.11","replicate_id.12","overshoot_ratio.12","subsample.12","replicate_id.13","overshoot_ratio.13","subsample.13","replicate_id.14","overshoot_ratio.14","subsample.14","replicate_id.15","overshoot_ratio.15","subsample.15","replicate_id.16","overshoot_ratio.16","subsample.16","replicate_id.17","overshoot_ratio.17","subsample.17","replicate_id.18","overshoot_ratio.18","subsample.18","replicate_id.19","overshoot_ratio.19","subsample.19"
"26",26,1.1137570983226,1000,26,1.16264243925177,1000,26,1.09182519388851,1000,26,1.45678925745657,1000,26,1.09162941446023,1000,26,1.27969363260288,1000,26,1.28044315409511,1000,26,1.56248995015503,1000,26,1.36592177634391,1000,26,1.25020522990214,1000,26,1.30617333870854,1000,26,1.19028258581776,1000,26,1.14833063924043,1000,26,1.60279762985462,1000,26,1.24221262074413,1000,26,1.26689505942217,1000,26,1.25657750408398,1000,26,1.37950583126589,1000,26,1.09795683499408,1000,26,1.02057996871925,1000
"27",27,1.34829286746452,1000,27,1.31090832501921,1000,27,1.2534311779088,1000,27,1.30113961042461,1000,27,1.1872787479697,1000,27,1.292011399726,1000,27,1.23630457386241,1000,27,1.23278505753669,1000,27,1.21130683018397,1000,27,1.51720926054304,1000,27,1.15865047525457,1000,27,1.36755293050468,1000,27,1.18831986192139,1000,27,1.2822762640604,1000,27,1.23085846044083,1000,27,1.14676176061801,1000,27,1.3775915317768,1000,27,1.11995221762321,1000,27,1.22067971807814,1000,27,1.26980086964636,1000
"28",28,1.0595231495511,1000,28,1.01798768178474,1000,28,1.08419320364749,1000,28,1.3241265683381,1000,28,1.35185623015769,1000,28,1.18458645125335,1000,28,1.52924281933192,1000,28,1.09594398223224,1000,28,1.3378616657926,1000,28,1.26304807307729,1000,28,1.10340770505531,1000,28,1.19085838448221,1000,28,1.44147266889351,1000,28,1.05593732689919,1000,28,1.41247601941723,1000,28,1.24821614552635,1000,28,1.66193503489568,1000,28,1.07704067991228,1000,28,1.28336567154962,1000,28,1.24948510933501,1000
"29",29,1.67215026759195,1000,29,1.40225403426388,1000,29,1.05317079478884,1000,29,1.0960701681912,1000,29,1.25359016342133,1000,29,1.46966148989041,1000,29,1.10216934476607,1000,29,1.25684976171019,1000,29,1.42975737403229,1000,29,1.28364136647867,1000,29,1.22024566782938,1000,29,1.15753464143576,1000,29,1.19652904252863,1000,29,1.37790141338095,1000,29,1.12578995252742,1000,29,1.30279210098676,1000,29,1.18507715223191,1000,29,1.15180200598548,1000,29,1.19069759700498,1000,29,1.17369653380516,1000
"30",30,1.36177741361025,1000,30,1.23880173552354,1000,30,1.2592928941164,1000,30,1.71493837151727,1000,30,1.44603549409031,1000,30,1.67214662448802,1000,30,1.12830601418276,1000,30,0.991026780328731,1000,30,1.21783790375551,1000,30,1.2143368909831,1000,30,1.17735868119972,1000,30,1.45686067492947,1000,30,1.1840568138992,1000,30,1.05796118929841,1000,30,1.05765775648474,1000,30,1.30704084181806,1000,30,1.43404971000655,1000,30,1.28237392620072,1000,30,1.17690424764174,1000,30,1.66624937264299,1000
"31",31,1.25588666053565,1000,31,1.21688618545342,1000,31,1.13706175567182,1000,31,1.26382442689075,1000,31,1.19202704650903,1000,31,1.15811427692973,1000,31,1.03632669963942,1000,31,1.16063455560724,1000,31,1.07788552175854,1000,31,1.1347738036993,1000,31,1.03315935114701,1000,31,1.34049119932454,1000,31,1.61691881014125,1000,31,1.23801186318925,1000,31,1.10248960140432,1000,31,1.16970119004098,1000,31,1.11221010876877,1000,31,1.03640789830315,1000,31,1.03374113303703,1000,31,1.08316701041291,1000
"32",32,1.59537905367859,1000,32,1.21802455619658,1000,32,1.16163155677592,1000,32,1.27268210529882,1000,32,1.43929562779113,1000,32,1.19659024008853,1000,32,1.16632814351385,1000,32,0.970520844733957,1000,32,1.40890230451748,1000,32,1.1831903965623,1000,32,1.28716401266039,1000,32,1.23735264328613,1000,32,1.19470304280663,1000,32,1.25025833369182,1000,32,1.24882770322492,1000,32,1.09092592723478,1000,32,1.18237096441277,1000,32,1.08169041638667,1000,32,1.11968592590162,1000,32,1.19479201908825,1000
"33",33,1.17996052355746,1000,33,1.12423836253496,1000,33,1.46594830045254,1000,33,1.48443512415637,1000,33,1.19622838511746,1000,33,1.35753654401784,1000,33,1.58226131045492,1000,33,1.13313554602478,1000,33,1.59094417601912,1000,33,1.79921796696899,1000,33,1.37742437549018,1000,33,1.14958081523252,1000,33,1.45855974257443,1000,33,1.16102626311312,1000,33,1.16286638875915,1000,33,1.08378130493838,1000,33,1.03244387384542,1000,33,1.04547799629937,1000,33,1.07981704029446,1000,33,1.20041263999202,1000
"34",34,1.21863910119478,1000,34,1.16066658099597,1000,34,1.12526822249516,1000,34,1.51598160434539,1000,34,1.1950001744024,1000,34,1.43893091073349,1000,34,1.07201424234545,1000,34,1.25299831561365,1000,34,1.36195073153442,1000,34,1.17884896682337,1000,34,1.33897057381601,1000,34,1.2006945240638,1000,34,1.20039927425519,1000,34,1.61473186166778,1000,34,1.12652442047272,1000,34,1.2643336513539,1000,34,1.20276134919389,1000,34,1.55666725352073,1000,34,1.18144873522042,1000,34,1.18977275624533,1000
"35",35,1.05953326290409,1000,35,1.4133415248996,1000,35,1.47488342743141,1000,35,1.3458128035065,1000,35,1.11588233080252,1000,35,1.18345817836495,1000,35,0.993781298082716,1000,35,1.26344300145039,1000,35,1.09524076639557,1000,35,1.47379531996217,1000,35,1.36921757634458,1000,35,1.26274288149938,1000,35,1.31883317276102,1000,35,1.13146548150974,1000,35,1.15824268848395,1000,35,1.2494029917178,1000,35,1.30839044012711,1000,35,1.16342185956283,1000,35,1.27407571577203,1000,35,1.10326260653858,1000
"36",36,1.35072295149888,1000,36,1.22491570782409,1000,36,1.36587234977567,1000,36,1.078956618874,1000,36,1.51146022943689,1000,36,1.53904392256096,1000,36,1.4715892277295,1000,36,1.1407185922705,1000,36,1.67054853226602,1000,36,1.27688186087456,1000,36,1.25541955765599,1000,36,1.41237853339835,1000,36,1.09940709629858,1000,36,0.973786871864712,1000,36,1.27303282271651,1000,36,1.40865924682153,1000,36,1.03371361235985,1000,36,1.30456197532048,1000,36,1.45777323768265,1000,36,1.49473195468858,1000
"37",37,1.85606742234461,1000,37,1.11889223839644,1000,37,1.33295997122785,1000,37,1.48065441206099,1000,37,1.11623645756862,1000,37,1.40189809434677,1000,37,1.22502635439992,1000,37,1.3520009618864,1000,37,1.69312824295802,1000,37,1.35975550827296,1000,37,1.30570531203107,1000,37,1.37921507240229,1000,37,1.16782297266841,1000,37,1.21772912928871,1000,37,1.64791867797458,1000,37,1.25378390953854,1000,37,1.13745558570847,1000,37,1.00681661318726,1000,37,1.18192681797739,1000,37,1.22722919439722,1000
