"","replicate_id","overshoot_ratio","subsample","replicate_id","overshoot_ratio","subsample"
"62",62,1.32546007497654,5690,62,1.21110441665233,5690
"63",63,2.89187715703013,5690,63,1.67382145397856,5690
"64",64,1.22512047884575,5690,64,1.11836416728842,5690
"65",65,1.93235007277642,5690,65,1.32876512697536,5690
"66",66,1.58657669046209,5690,66,1.34988374907475,5690
"67",67,1.25088018451786,5690,67,1.33788343645481,5690
"68",68,1.73087902558888,5690,68,1.27879384423479,5690
"69",69,1.27787463993382,5690,69,1.3329732831183,5690
"70",70,1.30610986608369,5690,70,1.26889723871061,5690
"71",71,1.3687722294748,5690,71,1.66300324650872,5690
"72",72,1.59796240853632,5690,72,1.79780936674525,5690
"73",73,1.56419121620222,5690,73,1.30782128076136,5690
"74",74,2.04972473136169,5690,74,1.62599446228618,5690
"75",75,1.07692254913634,5690,75,1.66700679583344,5690
"76",76,1.45792076695045,5690,76,1.41671699935584,5690
"77",77,1.40779300190703,5690,77,1.20279312214036,5690
"78",78,1.10443578907637,5690,78,1.40971245088156,5690
"79",79,1.08113058257651,5690,79,1.267115307764,5690
"80",80,1.5670233658696,5690,80,1.44765861426939,5690
"81",81,1.54630600227067,5690,81,1.56696608132359,5690
"82",82,1.79026312619105,5690,82,1.27129603127956,5690
"83",83,1.3339787920882,5690,83,1.3300982725506,5690
"84",84,1.85019716850006,5690,84,1.32131615147483,5690
"85",85,1.86544556237101,5690,85,1.188042345422,5690
"86",86,1.53200810735451,5690,86,1.16960376802733,5690
"87",87,1.89076192986478,5690,87,1.58364417235155,5690
"88",88,1.47566918089726,5690,88,1.13158054286102,5690
"89",89,1.78163426404281,5690,89,1.35480079979714,5690
"90",90,1.5620186608921,5690,90,2.06151913801069,5690
"91",91,1.42090964333656,5690,91,1.09362102767555,5690
"92",92,1.09981654179523,5690,92,1.08858571172109,5690
"93",93,1.76003463513845,5690,93,1.11252703509562,5690
"94",94,1.84255201201462,5690,94,1.49317454215361,5690
"95",95,1.40988850991925,5690,95,1.47766325449338,5690
"96",96,1.4921534447454,5690,96,1.56930990918931,5690
"97",97,2.9178001465584,5690,97,1.45682413280163,5690
"98",98,1.42238473128176,5690,98,1.08766438694235,5690
"99",99,19.2638281067986,5690,99,1.52221436212575,5690
"100",100,1.45327028179523,5690,100,1.49631331799803,5690
"101",101,1.40900321177928,5690,101,1.08417239443516,5690
"102",102,1.35771096607825,5690,102,1.11861512746718,5690
"103",103,1.87747710505492,5690,103,1.46193669014235,5690
"104",104,1.58478457725109,5690,104,1.18777383532816,5690
"105",105,2.18442039685436,5690,105,1.7596853439868,5690
"106",106,2.17933449082255,5690,106,1.23310356533272,5690
"107",107,1.40857053159757,5690,107,1.28583502791605,5690
