"","replicate_id","overshoot_ratio","subsample","replicate_id.1","overshoot_ratio.1","subsample.1","replicate_id.2","overshoot_ratio.2","subsample.2","replicate_id.3","overshoot_ratio.3","subsample.3","replicate_id.4","overshoot_ratio.4","subsample.4","replicate_id.5","overshoot_ratio.5","subsample.5","replicate_id.6","overshoot_ratio.6","subsample.6","replicate_id.7","overshoot_ratio.7","subsample.7","replicate_id.8","overshoot_ratio.8","subsample.8","replicate_id.9","overshoot_ratio.9","subsample.9"
"18",18,0.751655952285825,1000,18,2.25122663772492,1000,18,2.75103292098899,1000,18,1.61047943983669,1000,18,1.72964849670665,1000,18,3.55314275347629,1000,18,1.09647146055621,1000,18,3.4999858239293,1000,18,1.32096588210882,1000,18,1.07187862429143,1000
"19",19,1.18540672650133,1000,19,1.47333097209161,1000,19,3.65289706409921,1000,19,1.54328411371772,1000,19,1.15899742622423,1000,19,16.983288675243,1000,19,1.08306934143802,1000,19,1.24613443831756,1000,19,0.91983788474366,1000,19,1.04245671486005,1000
"20",20,1.1483105790823,1000,20,1.74182373472174,1000,20,2.56713142601783,1000,20,0.77485769453683,1000,20,1.00068308205941,1000,20,6.72451395378748,1000,20,1.49060335945528,1000,20,1.05535008774498,1000,20,0.944527530401822,1000,20,0.983807774633785,1000
"21",21,1.01852852411483,1000,21,0.899421758221324,1000,21,1.96920676620582,1000,21,1.64627630099127,1000,21,2.22125912437976,1000,21,5.62265791874683,1000,21,2.00617949476234,1000,21,1.86202078801267,1000,21,0.829294276785564,1000,21,1.15784564360419,1000
"22",22,1.22615330171542,1000,22,1.08303863041821,1000,22,3.03373241724025,1000,22,2.21447974187792,1000,22,1.30891953484998,1000,22,1.9466419963865,1000,22,1.45230245903368,1000,22,0.912787714968158,1000,22,1.60259588061791,1000,22,1.88414798489965,1000
"23",23,1.15738427342956,1000,23,2.63106818534058,1000,23,4.54020046150583,1000,23,2.1660388805709,1000,23,3.85909395431402,1000,23,2.09310724579304,1000,23,3.48199803037093,1000,23,2.32469176072447,1000,23,0.968263359669489,1000,23,1.46808068669859,1000
"24",24,1.00574588475216,1000,24,0.785930296207617,1000,24,1.65729877126264,1000,24,2.16613493661911,1000,24,1.06536882801712,1000,24,1.26039514036225,1000,24,1.82036989749834,1000,24,1.36494671110794,1000,24,0.883475216162653,1000,24,1.16095785154608,1000
"25",25,0.96268013301916,1000,25,1.33718817461546,1000,25,6.04854941682054,1000,25,0.925075619098515,1000,25,1.28553449429599,1000,25,5.48753491138032,1000,25,1.37372743638231,1000,25,1.34576154387892,1000,25,0.984681911648274,1000,25,0.974009115253105,1000
"26",26,1.14882560698245,1000,26,0.961611248101725,1000,26,0.792141481670283,1000,26,1.84923598220673,1000,26,0.782448141305608,1000,26,3.01342674917104,1000,26,1.21034028810844,1000,26,1.27940787911229,1000,26,0.935852188870379,1000,26,1.19445828203677,1000
"27",27,1.07994629439108,1000,27,0.740191342602697,1000,27,2.15959014289169,1000,27,1.40386010354982,1000,27,0.733874570066584,1000,27,4.10778780056131,1000,27,0.771434535906118,1000,27,1.10683814859497,1000,27,1.32382554483859,1000,27,1.80136409268114,1000
"28",28,1.16146253184356,1000,28,1.27913200725915,1000,28,4.53039641913344,1000,28,1.02525125372983,1000,28,1.7468737188923,1000,28,5.90245377117271,1000,28,1.58744244352545,1000,28,3.04506837249807,1000,28,2.59007943923898,1000,28,1.27379333569615,1000
"29",29,1.21154254211349,1000,29,1.59190253954504,1000,29,0.889760567148651,1000,29,1.89724769589985,1000,29,2.08003472628911,1000,29,1.71433251843767,1000,29,4.22412659123831,1000,29,2.84965111219115,1000,29,1.04110411922179,1000,29,1.01771780783296,1000
