"","replicate_id","overshoot_ratio","subsample","replicate_id.1","overshoot_ratio.1","subsample.1","replicate_id.2","overshoot_ratio.2","subsample.2","replicate_id.3","overshoot_ratio.3","subsample.3","replicate_id.4","overshoot_ratio.4","subsample.4","replicate_id.5","overshoot_ratio.5","subsample.5","replicate_id.6","overshoot_ratio.6","subsample.6","replicate_id.7","overshoot_ratio.7","subsample.7","replicate_id.8","overshoot_ratio.8","subsample.8","replicate_id.9","overshoot_ratio.9","subsample.9"
"18",18,0.938065127455023,1000,18,0.833609121640516,1000,18,0.820941130905185,1000,18,1.04513257144774,1000,18,1.40427106608307,1000,18,5.07774685791369,1000,18,2.08199185346346,1000,18,2.65825594109891,1000,18,1.05958669949779,1000,18,2.37362081472864,1000
"19",19,1.43700793122124,1000,19,1.07589748316108,1000,19,1.09564392920536,1000,19,1.51241910888041,1000,19,0.975872426361803,1000,19,1.75127466997297,1000,19,1.99193580257759,1000,19,2.11961544532846,1000,19,2.99634962404593,1000,19,2.64816096369789,1000
"20",20,1.0836472311482,1000,20,1.49313558425863,1000,20,0.914358983426003,1000,20,1.05709155264686,1000,20,0.912242326083677,1000,20,1.01371881430866,1000,20,1.50407888945686,1000,20,1.95767227239275,1000,20,2.64483236982471,1000,20,6.49733140238862,1000
"21",21,1.07000559825327,1000,21,1.16193285461156,1000,21,1.25306212989673,1000,21,1.26938202212172,1000,21,0.918765356915584,1000,21,0.847118393275083,1000,21,2.8970776772855,1000,21,1.81257950743197,1000,21,1.34463353809733,1000,21,5.5404928727687,1000
"22",22,0.992574301273378,1000,22,3.88367942662504,1000,22,2.77648890847915,1000,22,1.420608551711,1000,22,1.27088520982039,1000,22,2.78049539846993,1000,22,1.08868875053902,1000,22,0.734478990187069,1000,22,1.24933347084855,1000,22,2.86835810989846,1000
"23",23,1.06693710224508,1000,23,0.986454846569348,1000,23,3.23336111561212,1000,23,0.96836221944385,1000,23,1.0978010216631,1000,23,1.3721032744188,1000,23,3.85359338606062,1000,23,2.89653387561902,1000,23,2.79947900174715,1000,23,3.11029081141616,1000
"24",24,1.04936372977143,1000,24,1.15048395196519,1000,24,1.90712182577268,1000,24,2.5433440654532,1000,24,0.768203754108926,1000,24,3.36910124948913,1000,24,0.720011483970554,1000,24,1.9123935290483,1000,24,2.06994989872533,1000,24,5.7938251195655,1000
"25",25,1.07563449228265,1000,25,1.51418798404153,1000,25,0.862916628352772,1000,25,1.36231820604076,1000,25,1.98741597051071,1000,25,1.60907325816559,1000,25,1.96142531104882,1000,25,1.80973985840323,1000,25,1.42473117275554,1000,25,6.43154684386027,1000
"26",26,1.38122778948439,1000,26,1.42373092476274,1000,26,1.60961798940651,1000,26,2.02217109693814,1000,26,0.959762987479931,1000,26,3.55725145760473,1000,26,1.32458404041719,1000,26,2.18518427878097,1000,26,0.708708411048332,1000,26,1.87203794802185,1000
"27",27,1.18500198221357,1000,27,0.823928799810645,1000,27,0.737614495670336,1000,27,1.08640453290895,1000,27,5.21526463831967,1000,27,0.871116794793298,1000,27,0.854671476443132,1000,27,0.80734948366181,1000,27,6.17757078350545,1000,27,2.63471121791925,1000
"28",28,1.20782113681735,1000,28,1.24584799557978,1000,28,0.988392424355888,1000,28,1.07136312345135,1000,28,1.30589730810149,1000,28,1.8636813788129,1000,28,0.970115303710467,1000,28,2.08362945485037,1000,28,0.922164770894573,1000,28,1.61068348000568,1000
"29",29,1.36968516865214,1000,29,2.04740815132332,1000,29,2.77960274677746,1000,29,0.903093087818501,1000,29,0.894404688538118,1000,29,1.76850488276486,1000,29,0.742928739196796,1000,29,0.996271786040769,1000,29,2.02297505657034,1000,29,6.00537729828487,1000
"30",30,1.17412917930321,1000,30,1.27495555307626,1000,30,0.947777685960878,1000,30,0.879215556544447,1000,30,1.58490434833834,1000,30,0.863749338192214,1000,30,0.884311682432182,1000,30,1.41485493947264,1000,30,1.99956802902079,1000,30,2.70584360023269,1000
"31",31,1.21426839419325,1000,31,0.87550154320849,1000,31,0.861171042201042,1000,31,0.846459243577935,1000,31,2.56560324084498,1000,31,1.11092322851045,1000,31,1.77732904776962,1000,31,2.12642659773123,1000,31,3.1532983754412,1000,31,4.01700727408194,1000
"32",32,0.896901691619658,1000,32,1.04107592934925,1000,32,0.878278572366371,1000,32,2.30598705223128,1000,32,2.12087696870866,1000,32,0.963209036133204,1000,32,1.32869351690892,1000,32,1.91791712959107,1000,32,0.855764442448009,1000,32,2.47684131581101,1000
"33",33,1.10944230166529,1000,33,0.838512356655198,1000,33,0.975837682659191,1000,33,1.02452744652781,1000,33,2.94860970744271,1000,33,1.33819593946891,1000,33,0.876615093837015,1000,33,1.4320808500424,1000,33,1.53175434123853,1000,33,3.35128039029831,1000
"34",34,1.05469133979639,1000,34,1.53408013532705,1000,34,1.29342202722649,1000,34,1.02411858834743,1000,34,0.89438425160792,1000,34,0.914311761510931,1000,34,1.98203800120962,1000,34,2.29033908884983,1000,34,1.12350000657235,1000,34,6.19224066724655,1000
"35",35,0.958722834479704,1000,35,0.954415906028652,1000,35,0.74208571219994,1000,35,1.74666457209982,1000,35,0.973567935538506,1000,35,1.03140674173512,1000,35,1.94975982189841,1000,35,3.19921572792771,1000,35,3.04016527066242,1000,35,2.19046538826659,1000
"36",36,0.955289432823833,1000,36,1.98726205634658,1000,36,2.39753036589407,1000,36,0.914956026509165,1000,36,1.08625551428456,1000,36,1.53499369016551,1000,36,3.21493418001503,1000,36,0.951272485624979,1000,36,0.859917301516757,1000,36,2.64076768239448,1000
"37",37,1.02885881039361,1000,37,0.923261621121318,1000,37,1.90773494755381,1000,37,0.982959400987817,1000,37,1.26279508231667,1000,37,1.69508381911684,1000,37,1.68055639479872,1000,37,2.04960633979004,1000,37,4.54216521048045,1000,37,5.46803006543639,1000
"38",38,1.21297231501357,1000,38,1.06192066450478,1000,38,0.945655875282207,1000,38,2.57401856554873,1000,38,2.26841700722291,1000,38,0.979832034512383,1000,38,1.01317514984017,1000,38,1.63665873183975,1000,38,0.904922756635832,1000,38,4.36998334214511,1000
"39",39,1.06529982670549,1000,39,0.899824774101301,1000,39,0.904260159657895,1000,39,0.938356841236769,1000,39,1.36173360727835,1000,39,4.25504198004417,1000,39,2.37395699815745,1000,39,2.31420363915581,1000,39,3.94193669459031,1000,39,6.61946402163993,1000
"40",40,1.00281283744042,1000,40,1.49149870831746,1000,40,1.59215281935188,1000,40,3.30823555623194,1000,40,1.11863951391092,1000,40,1.51632772807134,1000,40,0.88525063408998,1000,40,1.63116045308011,1000,40,1.46124724281771,1000,40,5.34514649902507,1000
"41",41,1.14185608803303,1000,41,1.47538993881328,1000,41,1.06029100357199,1000,41,1.0808086097212,1000,41,0.879930996080908,1000,41,1.30930261641662,1000,41,0.907811238353866,1000,41,1.27459209339551,1000,41,7.8383861066178,1000,41,7.09369498523848,1000
"42",42,1.27318067571151,1000,42,1.00290104598358,1000,42,1.20901479642166,1000,42,2.35376738678683,1000,42,1.05695512073494,1000,42,1.69395612893318,1000,42,0.890925058949835,1000,42,0.811728899810424,1000,42,2.19894466937931,1000,42,1.25035094068642,1000
"43",43,1.20708973780186,1000,43,1.02721310167009,1000,43,0.919751595113657,1000,43,1.02433391751647,1000,43,1.81011255911474,1000,43,1.00790531500474,1000,43,1.29610887922293,1000,43,0.915350317562097,1000,43,3.32418018086922,1000,43,2.73259608313686,1000
"44",44,1.4035186020561,1000,44,0.964266536953346,1000,44,1.69500272285683,1000,44,1.34605965765752,1000,44,0.761688211444998,1000,44,0.86381062721006,1000,44,0.988642348097805,1000,44,3.37668474834288,1000,44,7.28294407245644,1000,44,3.34685856079875,1000
