"","replicate_id","overshoot_ratio","subsample","replicate_id.1","overshoot_ratio.1","subsample.1","replicate_id.2","overshoot_ratio.2","subsample.2","replicate_id.3","overshoot_ratio.3","subsample.3","replicate_id.4","overshoot_ratio.4","subsample.4","replicate_id.5","overshoot_ratio.5","subsample.5","replicate_id.6","overshoot_ratio.6","subsample.6","replicate_id.7","overshoot_ratio.7","subsample.7","replicate_id.8","overshoot_ratio.8","subsample.8","replicate_id.9","overshoot_ratio.9","subsample.9"
"11",11,7.57268901796504,1000,11,12.6744611738505,1000,11,20.5451275371027,1000,11,131.366180183579,1000,11,93.2221073095929,1000,11,50.9130437976346,1000,11,36.2530484475987,1000,11,109.1593291628,1000,11,34.7442034614509,1000,11,73.9545108935646,1000
"12",12,2.33876923598775,1000,12,54.5417178161367,1000,12,41.5028132381812,1000,12,35.5570696262575,1000,12,3.78882257557889,1000,12,37.7216306801986,1000,12,51.6617603596059,1000,12,61.0047366586042,1000,12,35.4676502490436,1000,12,12.8682272641845,1000
"13",13,26.0499916446721,1000,13,110.043613163263,1000,13,30.7951272604301,1000,13,30.5255996327192,1000,13,150.976354969107,1000,13,6.06223535668526,1000,13,26.8231602997659,1000,13,27.3798110155932,1000,13,78.8593174928243,1000,13,10.3248499187969,1000
"14",14,1.22141229940981,1000,14,65.538296765949,1000,14,217.087980997188,1000,14,29.1419718342956,1000,14,68.4749758846692,1000,14,59.9352416017995,1000,14,24.2307922880436,1000,14,39.0128711094451,1000,14,49.668760867555,1000,14,4.76010191690079,1000
"15",15,3.81096612387388,1000,15,12.8066503670199,1000,15,93.9675247381255,1000,15,93.709171401507,1000,15,114.768549963473,1000,15,14.1093921611324,1000,15,12.1828456407791,1000,15,26.8555292391726,1000,15,28.6589052834241,1000,15,49.3924872824347,1000
"16",16,1.32320744032198,1000,16,75.120427282066,1000,16,61.2090656476716,1000,16,30.0513945832026,1000,16,2.37090170883135,1000,16,156.216439765938,1000,16,47.8554414671151,1000,16,14.6166540705539,1000,16,49.7774115028271,1000,16,37.1139504035278,1000
"17",17,3.67379957117997,1000,17,23.1801817293431,1000,17,33.8214557286831,1000,17,60.3825375695643,1000,17,7.32432324431764,1000,17,88.0806199751283,1000,17,37.6733950597119,1000,17,95.4524148202074,1000,17,23.2089931642976,1000,17,31.2265794228106,1000
"18",18,1.53114015428001,1000,18,17.9135211037351,1000,18,56.5212148286309,1000,18,22.3749573623255,1000,18,36.1994467776683,1000,18,28.5982694833931,1000,18,22.0546985242154,1000,18,10.8035967433473,1000,18,22.4211653585549,1000,18,38.1304610259037,1000
"19",19,42.3459828409634,1000,19,14.5896545045709,1000,19,75.6561989077587,1000,19,50.9120723382939,1000,19,48.485887385491,1000,19,169.622119295459,1000,19,81.9816715688815,1000,19,32.4260977790702,1000,19,86.2098919028276,1000,19,25.0598960427339,1000
"20",20,9.39978713810907,1000,20,73.4687994814909,1000,20,80.207546216432,1000,20,23.5481739367327,1000,20,82.6763693045462,1000,20,11.3019863988983,1000,20,138.926911040599,1000,20,10.069679209701,1000,20,102.808245243924,1000,20,95.7311573335284,1000
"21",21,10.6187282785664,1000,21,77.1741074757526,1000,21,30.3666596959462,1000,21,17.6716108636676,1000,21,46.9458279400869,1000,21,8.29158114384887,1000,21,128.444732472538,1000,21,52.8600276708591,1000,21,44.8958871911043,1000,21,92.4844854178375,1000
