"","replicate_id","undershoot_ratio","subsample","replicate_id.1","undershoot_ratio.1","subsample.1","replicate_id.2","undershoot_ratio.2","subsample.2","replicate_id.3","undershoot_ratio.3","subsample.3","replicate_id.4","undershoot_ratio.4","subsample.4","replicate_id.5","undershoot_ratio.5","subsample.5","replicate_id.6","undershoot_ratio.6","subsample.6","replicate_id.7","undershoot_ratio.7","subsample.7","replicate_id.8","undershoot_ratio.8","subsample.8","replicate_id.9","undershoot_ratio.9","subsample.9","replicate_id.10","undershoot_ratio.10","subsample.10","replicate_id.11","undershoot_ratio.11","subsample.11","replicate_id.12","undershoot_ratio.12","subsample.12","replicate_id.13","undershoot_ratio.13","subsample.13","replicate_id.14","undershoot_ratio.14","subsample.14","replicate_id.15","undershoot_ratio.15","subsample.15","replicate_id.16","undershoot_ratio.16","subsample.16","replicate_id.17","undershoot_ratio.17","subsample.17","replicate_id.18","undershoot_ratio.18","subsample.18","replicate_id.19","undershoot_ratio.19","subsample.19"
"35",35,1.27733601132187,1000,35,1.1296559344716,1000,35,0.877509444913033,1000,35,1.04858779948279,1000,35,1.1070919666047,1000,35,1.38576245122188,1000,35,1.13817479824066,1000,35,1.20640787760318,1000,35,1.28665307853439,1000,35,1.65908795283128,1000,35,1.03195507722683,1000,35,1.0974309392016,1000,35,1.05000922680192,1000,35,1.02416408812568,1000,35,1.30621724892611,1000,35,1.01386208876859,1000,35,1.05348135157133,1000,35,1.13845661040613,1000,35,1.20184555541172,1000,35,1.13717286254152,1000
"36",36,1.49060680121552,1000,36,1.18894447370589,1000,36,1.22226596922822,1000,36,1.13984579110952,1000,36,1.23725927087589,1000,36,1.18760132299443,1000,36,1.08637412879071,1000,36,1.64564770979751,1000,36,1.33259643975736,1000,36,1.4941145757364,1000,36,0.974221742983124,1000,36,1.15954096278701,1000,36,1.07454605479005,1000,36,1.12552725386751,1000,36,1.34773615529534,1000,36,0.954202358061198,1000,36,1.21992174548933,1000,36,1.4164591577456,1000,36,1.35154230253153,1000,36,1.12626394362872,1000
"37",37,0.950355200741303,1000,37,1.13869661002066,1000,37,1.03968166371833,1000,37,1.0253877578432,1000,37,1.2864653886398,1000,37,1.23285112824716,1000,37,0.966812914712718,1000,37,1.13653708873236,1000,37,1.22014203412054,1000,37,1.39114114522329,1000,37,0.939188653467852,1000,37,1.14497243910128,1000,37,1.23044632288469,1000,37,1.19297471237093,1000,37,0.931033852007415,1000,37,1.0311564539134,1000,37,1.15953641309996,1000,37,1.10427781206026,1000,37,1.09495867451877,1000,37,1.10862374677446,1000
"38",38,1.33183276400475,1000,38,0.968628519201539,1000,38,1.05689852173226,1000,38,1.04921402364248,1000,38,1.09241666579484,1000,38,1.01586230261705,1000,38,1.24271457171213,1000,38,1.11719527804528,1000,38,1.47769125248761,1000,38,1.28810732652808,1000,38,1.03420528843398,1000,38,1.01646850643701,1000,38,1.00280650484921,1000,38,1.32714251923201,1000,38,0.989226513025108,1000,38,1.18076826211711,1000,38,1.23401566192129,1000,38,1.35418663218747,1000,38,0.955225867630518,1000,38,1.06779674576209,1000
"39",39,1.39257426078199,1000,39,1.02286819721236,1000,39,1.18736693863738,1000,39,1.08852293008517,1000,39,1.32952484841148,1000,39,1.3148419363119,1000,39,1.09875301724005,1000,39,1.12347232828077,1000,39,1.15012342936729,1000,39,1.65205138893159,1000,39,1.22646720165063,1000,39,1.01431970417592,1000,39,1.22763362684992,1000,39,0.943385616772139,1000,39,1.34815748995771,1000,39,1.13527741081234,1000,39,1.11980572188804,1000,39,1.35697697345499,1000,39,1.43736044905332,1000,39,1.31555692138745,1000
"40",40,1.27095221254481,1000,40,0.990659239828659,1000,40,1.10556716920691,1000,40,1.21669086299222,1000,40,0.926612527174173,1000,40,1.04650163718686,1000,40,0.965536543113314,1000,40,1.17123778480057,1000,40,0.890504377853152,1000,40,1.62377686205864,1000,40,1.25139422339828,1000,40,1.17579955358439,1000,40,1.43320537584528,1000,40,1.18321663332394,1000,40,1.05534289646926,1000,40,1.13128558541852,1000,40,1.01841852423425,1000,40,1.27440738367292,1000,40,1.55537524744084,1000,40,1.07729231746739,1000
"41",41,1.11043612795496,1000,41,1.10206508276939,1000,41,1.07198138851553,1000,41,1.00140288163277,1000,41,1.12782174690031,1000,41,1.03397276222377,1000,41,1.20033888875872,1000,41,1.26180625351136,1000,41,0.954970676665875,1000,41,1.30779845125617,1000,41,1.10725787249619,1000,41,1.13051137613388,1000,41,1.13407924107966,1000,41,1.10740594300386,1000,41,1.10232490629879,1000,41,1.09069223011306,1000,41,0.98593543514116,1000,41,1.15539848378217,1000,41,1.00657701730972,1000,41,1.09089723844415,1000
"42",42,0.960461325285717,1000,42,1.07438958461887,1000,42,1.34028772879553,1000,42,1.40582741243173,1000,42,1.17084620395645,1000,42,1.10713613321105,1000,42,1.0691741811307,1000,42,0.974946164950512,1000,42,1.42459208606238,1000,42,1.47559894339522,1000,42,1.12787394484481,1000,42,1.06788357089364,1000,42,1.23785810060609,1000,42,1.13950960660993,1000,42,1.31875146465163,1000,42,0.995755043678798,1000,42,1.1535076668262,1000,42,1.30262795305025,1000,42,1.10467645900796,1000,42,1.14583402795885,1000
"43",43,1.00837884003268,1000,43,1.39273042529814,1000,43,1.06047117604064,1000,43,1.28571871386281,1000,43,1.14162333719019,1000,43,1.10177853763917,1000,43,1.19002227811828,1000,43,1.18041884820593,1000,43,1.47075972297504,1000,43,1.33027296761339,1000,43,1.06445105681946,1000,43,1.10223857935993,1000,43,1.16922693845264,1000,43,1.31239806387156,1000,43,0.856581396478129,1000,43,1.02960023328552,1000,43,1.29022760916336,1000,43,1.24339182069694,1000,43,1.28731196924441,1000,43,1.05784943795391,1000
"44",44,1.19991500471804,1000,44,1.07220467582479,1000,44,1.03232726533818,1000,44,1.1166902080011,1000,44,1.04922072222875,1000,44,1.04031764603256,1000,44,0.948858951676299,1000,44,1.19790535035462,1000,44,1.44774686548084,1000,44,1.32509292675764,1000,44,0.972972138260133,1000,44,1.10908017484885,1000,44,1.04665872541784,1000,44,1.04949260263174,1000,44,1.2738972182024,1000,44,1.0956119212119,1000,44,1.21508865584439,1000,44,1.15044488558618,1000,44,1.25031159560073,1000,44,1.11436359134823,1000
