"","replicate_id","overshoot_ratio","subsample","replicate_id","undershoot_ratio","subsample"
"112",112,1.01503811711275,5690,NA,1.19113099339331,NA
"113",113,0.63634417260939,5690,NA,1.06975017228445,NA
"114",114,0.941441502973778,5690,NA,1.01957074110415,NA
"115",115,1.02212857223813,5690,NA,1.41801379545715,NA
"116",116,1.16294116313109,5690,NA,1.37541637720427,NA
"117",117,1.06731352490743,5690,NA,0.971901378865803,NA
"118",118,1.07303444860073,5690,NA,1.27830427714758,NA
"119",119,1.0007268703588,5690,NA,0.979552839975239,NA
"120",120,1.11727824165542,5690,NA,0.934110717762815,NA
"121",121,1.13008424075848,5690,NA,0.999769094230845,NA
"122",122,1.00271303010956,5690,NA,1.00471047387479,NA
"123",123,0.944865282704058,5690,NA,1.0756496851877,NA
"124",124,0.961222600317138,5690,NA,1.28240989451878,NA
"125",125,1.15186332231701,5690,NA,1.08723607744571,NA
"126",126,1.19920023391588,5690,NA,0.952362007701481,NA
"127",127,0.981225377561864,5690,NA,1.12622395480361,NA
"128",128,1.1298235497231,5690,NA,0.914532490108406,NA
"129",129,1.02759031226731,5690,NA,0.968800599202962,NA
"130",130,0.976008916730341,5690,NA,0.976697018575947,NA
"131",131,0.961294246925381,5690,NA,0.998839697416345,NA
"132",132,1.05794562533207,5690,NA,0.939850604375871,NA
"133",133,1.04800539707449,5690,NA,1.78733209709306,NA
"134",134,0.986050289173657,5690,NA,2.27021646858032,NA
"135",135,0.987031436107469,5690,NA,0.950726826409878,NA
"136",136,1.03918016237603,5690,NA,1.24934149328163,NA
"137",137,1.07888139214338,5690,NA,1.72833997313813,NA
"138",138,0.939719730763706,5690,NA,0.964249807510955,NA
"139",139,1.04976923566865,5690,NA,1.01610928511489,NA
"140",140,0.908596651180507,5690,NA,0.987811872548669,NA
"141",141,0.952090152835855,5690,NA,0.928312818270149,NA
"142",142,1.0093605960124,5690,NA,1.3179142204378,NA
"143",143,1.05524386194427,5690,NA,1.14205374108753,NA
"144",144,1.07753603793278,5690,NA,1.76404385856936,NA
"145",145,1.01113532767083,5690,NA,1.07608294552434,NA
